file,category,client_or_server,purpose,used_by
src/components/layout/Navbar.tsx,layout,client,"Top nav: logo, search shortcut, drawer, user menu","(main) layout"
src/components/layout/MobileNav.tsx,layout,client,"Bottom sticky nav on mobile (home/browse/recipes/collections/menus/profile)","(main) layout"
src/components/layout/Footer.tsx,layout,server,"Wordmark + quiet nav + GitHub credit, bg-accent-light","(main) layout"
src/components/home/HomeSection.tsx,home,client,"Horizontally scrolling recipe row with title, subtitle, optional 'view all' link","/ (home)"
src/components/recipes/RecipeForm.tsx,recipes,client,"Master form: title, description, image, gallery, servings, times, bake, tags, ingredients, steps, notes, source. Used for both create and edit.","/recipes/new, /recipes/[slug]/edit"
src/components/recipes/ImportForm.tsx,recipes,client,"URL-or-paste importer. Calls /api/import-recipe or /api/parse-recipe-text; Instagram-aware.","/recipes/import"
src/components/recipes/RecipeCard.tsx,recipes,server,"Card: thumbnail, title, description, status badge","RecipeGrid, home sections, collection/menu details"
src/components/recipes/RecipeGrid.tsx,recipes,server,"Responsive grid wrapper for RecipeCards","/recipes, /browse/[tagId], /collections/[id], search results"
src/components/recipes/RecipeGallery.tsx,recipes,client,"Lightbox carousel for gallery_images","/recipes/[slug]"
src/components/recipes/RecipeActionsMenu.tsx,recipes,client,"Ellipsis menu: edit, duplicate, create variation, link variation, delete","/recipes/[slug]"
src/components/recipes/RecipeStatusToggle.tsx,recipes,client,"Bookmark icon cycling saved → tried → favorite","/recipes/[slug]"
src/components/recipes/TagPills.tsx,recipes,client,"Top 4 tags by specificity + '+N more' overflow popover","/recipes/[slug]"
src/components/recipes/TagPickerOverlay.tsx,recipes,client,"Full-screen tag picker with category accordion","RecipeForm"
src/components/recipes/VariationPills.tsx,recipes,server,"Sibling-recipe pills (same family_id)","/recipes/[slug]"
src/components/recipes/CompareButton.tsx,recipes,client,"Opens recipe picker to start /compare flow","/recipes/[slug]"
src/components/recipes/CookModeButton.tsx,recipes,server,"Link to /recipes/[slug]/cook, styled to pair with CompareButton","/recipes/[slug]"
src/components/recipes/CreateVariationButton.tsx,recipes,client,"Duplicate recipe as a new variation (shared family_id)","RecipeActionsMenu"
src/components/recipes/LinkToVariationOverlay.tsx,recipes,client,"Modal to link this recipe into another recipe's family","RecipeActionsMenu"
src/components/recipes/ServingsMultiplier.tsx,recipes,client,"Servings +/- control that live-scales all ingredient quantities. Handles servings ranges & types.","/recipes/[slug], /recipes/[slug]/cook"
src/components/recipes/ImagePicker.tsx,recipes,client,"File input + crop for thumbnail / gallery images","RecipeForm, CollectionForm, MenuForm"
src/components/recipes/MoreFromSource.tsx,recipes,server,"'More from {hostname}' link, shown under source_url","/recipes/[slug]"
src/components/recipes/ViewOriginalTrigger.tsx,recipes,client,"Button that opens OriginalSnapshotOverlay","/recipes/[slug]/edit"
src/components/recipes/OriginalSnapshotOverlay.tsx,recipes,client,"Sepia read-only overlay rendering the immutable original_snapshot JSON","ViewOriginalTrigger"
src/components/cook/CookHeader.tsx,cook,client,"Sticky back-arrow + title bar. Calls useWakeLock(true); shows amber warning if lock fails.","/recipes/[slug]/cook"
src/components/cook/StampLastCooked.tsx,cook,client,"Fire-and-forget UPDATE recipes.last_cooked_at = now() on mount. Powers 'Recently Made'.","/recipes/[slug]/cook"
src/components/browse/RecipeListItem.tsx,browse,server,"Compact list row: thumbnail, title, time, tag chips","/browse/[tagId] (list view)"
src/components/search/SearchClient.tsx,search,client,"Query input + filter slide-panel + active chips + results grid","/search"
src/components/compare/CompareLayout.tsx,compare,server,"Two-column recipe comparison layout","/compare"
src/components/collections/CollectionCard.tsx,collections,server,"Collection tile: name, cover, recipe count","/collections"
src/components/collections/CollectionForm.tsx,collections,client,"Create/edit form (name, description, cover)","/collections/new, /collections/[id]/edit"
src/components/collections/AddToCollectionButton.tsx,collections,client,"Opens overlay to add current recipe to one or more collections","/recipes/[slug]"
src/components/collections/AddRecipeToCollectionButton.tsx,collections,client,"Opens recipe picker to add a recipe to the current collection","/collections/[id]"
src/components/menus/MenuCard.tsx,menus,server,"Menu tile: name, cover, recipe count","/menus"
src/components/menus/MenuForm.tsx,menus,client,"Create/edit menu with course assignment and drag-reorder","/menus/new, /menus/[id]/edit"
src/components/menus/MenuRecipePicker.tsx,menus,client,"Recipe picker with course selector","MenuForm"
src/components/menus/AddToMenuButton.tsx,menus,client,"Adds a recipe to a menu from the recipe detail page","(reserved — see RecipeActionsMenu)"
src/components/menus/SeenInMenus.tsx,menus,server,"Shows menus that contain this recipe","/recipes/[slug]"
src/components/shared/OverlayShell.tsx,shared,client,"Full-screen overlay wrapper (backdrop + close button + body-scroll lock)","all *Overlay components"
src/components/shared/ItemPickerOverlay.tsx,shared,client,"Generic searchable list picker","AddToCollectionButton, AddToMenuButton"
src/components/shared/RecipePickerOverlay.tsx,shared,client,"Specialized recipe picker (thumbnails + titles)","CompareButton, AddRecipeToCollectionButton, LinkToVariationOverlay"
src/components/ui/ImageUpload.tsx,ui,client,"File input with preview thumbnail","ImagePicker"
