route,page_file,layout_chain,key_components,notes
/,src/app/(main)/page.tsx,root + (main),"HomeSection (src/components/home/HomeSection.tsx)","Server page. 4 sections: seasonal pick (tag-driven via lib/utils/daily-pick.ts), Recently Made (last_cooked_at), Recently Added, Try Something New (deterministic daily shuffle of saved). Empty state when no recipes."
/recipes,src/app/(main)/recipes/page.tsx,root + (main),"RecipeGrid, RecipeCard, SearchClient (filters)","Browse all recipes. Grid/list toggle via URL param."
/recipes/new,src/app/(main)/recipes/new/page.tsx,root + (main),"RecipeForm (src/components/recipes/RecipeForm.tsx)","Blank form. RecipeForm owns every field, image upload, tag picker, ingredient/step editors."
/recipes/import,src/app/(main)/recipes/import/page.tsx,root + (main),"ImportForm (src/components/recipes/ImportForm.tsx)","URL or paste text. Calls /api/import-recipe or /api/parse-recipe-text. Detects Instagram URLs and hits /api/instagram-oembed."
/recipes/[slug],src/app/(main)/recipes/[slug]/page.tsx,root + (main),"ServingsMultiplier, AddToCollectionButton, RecipeGallery, VariationPills, CompareButton, CookModeButton, MoreFromSource, RecipeStatusToggle, TagPills, SeenInMenus, RecipeActionsMenu","Detail view. Server-fetches recipe + ingredients + steps + tags + sibling variations in parallel. Desktop vs mobile button layout diverges in the header."
/recipes/[slug]/edit,src/app/(main)/recipes/[slug]/edit/page.tsx,root + (main),"RecipeForm, ViewOriginalTrigger, OriginalSnapshotOverlay","Same RecipeForm reused in edit mode. Header has 'View Original' trigger for the immutable JSONB snapshot."
/recipes/[slug]/cook,src/app/(cook)/recipes/[slug]/cook/page.tsx,root + (cook),"CookHeader, StampLastCooked, ServingsMultiplier","Full-bleed Cook Mode. Sticky back-arrow header. StampLastCooked fires UPDATE recipes.last_cooked_at on mount. useWakeLock keeps screen on."
/browse,src/app/(main)/browse/page.tsx,root + (main),"(tag chip grid — inline)","All user tags grouped by category, clickable chips."
/browse/[tagId],src/app/(main)/browse/[tagId]/page.tsx,root + (main),"RecipeGrid, RecipeListItem","Recipes with this tag. Grid/list toggle via ?view= URL param."
/search,src/app/(main)/search/page.tsx,root + (main),"SearchClient (src/components/search/SearchClient.tsx)","URL-param driven (?q=&tags=). SearchClient owns input, filter slide-panel, active-chip row, results."
/compare,src/app/(main)/compare/page.tsx,root + (main),"CompareLayout (src/components/compare/CompareLayout.tsx)","Two recipes side-by-side. Recipe IDs come via query params."
/collections,src/app/(main)/collections/page.tsx,root + (main),"CollectionCard","Grid of collections with recipe counts."
/collections/new,src/app/(main)/collections/new/page.tsx,root + (main),"CollectionForm","Create form."
/collections/[id],src/app/(main)/collections/[id]/page.tsx,root + (main),"RecipeGrid, AddRecipeToCollectionButton","Collection detail — its recipes in a grid + add/edit/delete buttons."
/collections/[id]/edit,src/app/(main)/collections/[id]/edit/page.tsx,root + (main),"CollectionForm","Pre-populated edit form."
/menus,src/app/(main)/menus/page.tsx,root + (main),"MenuCard","Grid of menus."
/menus/new,src/app/(main)/menus/new/page.tsx,root + (main),"MenuForm","Create menu with course assignment + drag-reorder."
/menus/[id],src/app/(main)/menus/[id]/page.tsx,root + (main),"(course-grouped recipe list — inline)","Recipes grouped by course (starter/main/side/dessert/drink/other)."
/menus/[id]/edit,src/app/(main)/menus/[id]/edit/page.tsx,root + (main),"MenuForm, MenuRecipePicker","Edit menu."
/profile,src/app/(main)/profile/page.tsx,root + (main),"(stats + tag manager — inline)","User stats and tag management."
/login,src/app/(main)/login/page.tsx,root + (main),"(inline form)","Email/password + Google OAuth via Supabase."
/signup,src/app/(main)/signup/page.tsx,root + (main),"(inline form)","Email/password + Google OAuth via Supabase."
